timestamp,symbol,fundingInterval,fundingRate,fundingRateDaily
2016-11-04T04:00:00.000Z,FCTXBT,2000-01-01T08:00:00.000Z,4.6e-05,0.000138
2016-11-04T04:00:00.000Z,LSKXBT,2000-01-01T08:00:00.000Z,0.004110000000000001,0.012330000000000002
2020-08-29T20:00:00.000Z,LTCUSD,2000-01-01T08:00:00.000Z,0.0001,0.00030000000000000003
2016-11-04T04:00:00.000Z,LTCXBT,2000-01-01T08:00:00.000Z,0.0008309999999999999,0.0024929999999999996
2020-08-29T20:00:00.000Z,XBTUSD,2000-01-01T08:00:00.000Z,0.0001,0.00030000000000000003
2020-08-29T20:00:00.000Z,XRPUSD,2000-01-01T08:00:00.000Z,0.0001,0.00030000000000000003
2020-08-30T20:00:00.000Z,BCHUSD,2000-01-01T08:00:00.000Z,0.000109,0.00032700000000000003
2020-08-30T20:00:00.000Z,ETHUSD,2000-01-01T08:00:00.000Z,0.0001,0.00030000000000000003
2016-11-04T04:00:00.000Z,ETHXBT,2000-01-01T08:00:00.000Z,-0.0016619999999999998,-0.004985999999999999
2016-11-04T04:00:00.000Z,FCTXBT,2000-01-01T08:00:00.000Z,4.6e-05,0.000138
2016-11-04T04:00:00.000Z,LSKXBT,2000-01-01T08:00:00.000Z,0.004110000000000001,0.012330000000000002
2020-08-30T20:00:00.000Z,LTCUSD,2000-01-01T08:00:00.000Z,0.000209,0.0006270000000000001
2016-11-04T04:00:00.000Z,LTCXBT,2000-01-01T08:00:00.000Z,0.0008309999999999999,0.0024929999999999996
2020-08-30T20:00:00.000Z,XBTUSD,2000-01-01T08:00:00.000Z,0.0001,0.00030000000000000003
2020-08-30T20:00:00.000Z,XRPUSD,2000-01-01T08:00:00.000Z,0.0001,0.00030000000000000003
2020-08-31T20:00:00.000Z,BCHUSD,2000-01-01T08:00:00.000Z,0.0001,0.00030000000000000003
2020-08-31T20:00:00.000Z,ETHUSD,2000-01-01T08:00:00.000Z,0.000418,0.0012540000000000001
2016-11-04T04:00:00.000Z,ETHXBT,2000-01-01T08:00:00.000Z,-0.0016619999999999998,-0.004985999999999999
2016-11-04T04:00:00.000Z,FCTXBT,2000-01-01T08:00:00.000Z,4.6e-05,0.000138
2016-11-04T04:00:00.000Z,LSKXBT,2000-01-01T08:00:00.000Z,0.004110000000000001,0.012330000000000002
2020-08-31T20:00:00.000Z,LTCUSD,2000-01-01T08:00:00.000Z,0.0001,0.00030000000000000003
2016-11-04T04:00:00.000Z,LTCXBT,2000-01-01T08:00:00.000Z,0.0008309999999999999,0.0024929999999999996
2020-08-31T20:00:00.000Z,XBTUSD,2000-01-01T08:00:00.000Z,0.0001,0.00030000000000000003
2020-08-31T20:00:00.000Z,XRPUSD,2000-01-01T08:00:00.000Z,0.0001,0.00030000000000000003
2020-09-01T20:00:00.000Z,BCHUSD,2000-01-01T08:00:00.000Z,0.000343,0.001029
2020-09-01T20:00:00.000Z,ETHUSD,2000-01-01T08:00:00.000Z,0.00095,0.00285
2016-11-04T04:00:00.000Z,ETHXBT,2000-01-01T08:00:00.000Z,-0.0016619999999999998,-0.004985999999999999
